Business Name,  Contact Person ,First Name,Corporate Email,Website URL,Phone,Phone Type,Street Address,Zip Code,State,City,Number of Employees,Internal Ref
Brown Auto Repair 0,Robert Garcia,Maria,owner0@brownautorepair0.com,www.brownautorepair0.com/?utm_source=google,(232) 555-0000,Mobile,,70000,Illinois,CHICAGO,,REF-0
Davis Accountants 1,Michael Smith,Robert,owner1@davisaccountants1.com,www.davisaccountants1.com/?utm_source=google,(548) 555-0001,Landline,,70001,GE,Atlanta,,REF-1
Patel HVAC Services 2,Michael Smith,Priya,owner2@patelhvacservices2.com,www.patelhvacservices2.com/?utm_source=google,(587) 555-0002,Mobile,102 Main St,70002,TE,DALLAS,1-10,REF-2
Nguyen Auto Repair 3,Maria Nguyen,Maria,owner3@nguyenautorepair3.com,www.nguyenautorepair3.com/?utm_source=google,(664) 555-0003,,103 Main St,70003,Illinois,chicago,11-50,REF-3
Garcia Restaurants 4,Robert Nguyen,Robert,owner4@garciarestaurants4.com,www.garciarestaurants4.com/?utm_source=google,(476) 555-0004,,104 Main St,70004,Colorado,DENVER,11-50,REF-4
Smith Auto Detailing 5,David Brown,Maria,owner5@smithautodetailing5.com,www.smithautodetailing5.com/?utm_source=google,(780) 555-0005,,105 Main St,70005,GE,atlanta,51-200,REF-5
Johnson Chiropractors 6,Michael Davis,David,owner6@johnsonchiropractors6.com,www.johnsonchiropractors6.com/?utm_source=google,(341) 555-0006,,106 Main St,70006,Colorado,Denver,1-10,REF-6
Garcia Chiropractors 7,Priya Brown,James,owner7@garciachiropractors7.com,www.garciachiropractors7.com/?utm_source=google,(317) 555-0007,,107 Main St,70007,WA,SEATTLE,11-50,REF-7
Davis Auto Repair 8,James Brown,Robert,owner8@,www.davisautorepair8.com/?utm_source=google,(308) 555-0008,,,70008,Colorado,Denver,11-50,REF-8
Patel Chiropractors 9,Maria Patel,Michael,owner9@patelchiropractors9.com,www.patelchiropractors9.com/?utm_source=google,(446) 555-0009,,109 Main St,70009,Illinois,CHICAGO,51-200,REF-9
Johnson Auto Repair 10,Robert Brown,David,owner10@johnsonautorepair10.com,www.johnsonautorepair10.com/?utm_source=google,(752) 555-0010,,110 Main St,70010,AR,phoenix,11-50,REF-10
Garcia Real Estate Agents 11,Maria Patel,James,owner11@garciarealestateagents11.com,www.garciarealestateagents11.com/?utm_source=google,(435) 555-0011,,,70011,Massachusetts,BOSTON,,REF-11
Smith Restaurants 12,Maria Nguyen,Michael,owner12@smithrestaurants12.com,www.smithrestaurants12.com/?utm_source=google,(419) 555-0012,,,70012,TE,Dallas,51-200,REF-12
Garcia HVAC Services 13,David Patel,David,,www.garciahvacservices13.com/?utm_source=google,(946) 555-0013,Mobile,113 Main St,70013,Georgia,Atlanta,51-200,REF-13
Nguyen Plumbing 14,Priya Johnson,David,owner14@nguyenplumbing14.com,,(673) 555-0014,Mobile,114 Main St,70014,Texas,dallas,,REF-14
Garcia Auto Detailing 15,Linda Johnson,David,owner15@garciaautodetailing15.com,www.garciaautodetailing15.com/?utm_source=google,(418) 555-0015,Landline,115 Main St,70015,Illinois,chicago,,REF-15
Kim HVAC Services 16,Priya Johnson,Linda,owner16@kimhvacservices16.com,www.kimhvacservices16.com/?utm_source=google,(259) 555-0016,,116 Main St,70016,Colorado,DENVER,11-50,REF-16
Kim Auto Detailing 17,Robert Smith,Maria,owner17@kimautodetailing17.com,www.kimautodetailing17.com/?utm_source=google,(270) 555-0017,,,70017,Illinois,chicago,,REF-17
Smith Gyms 18,David Patel,Michael,owner18@smithgyms18.com,www.smithgyms18.com/?utm_source=google,(933) 555-0018,Landline,,70018,GE,Atlanta,11-50,REF-18
Garcia Real Estate Agents 19,Maria Garcia,Linda,,www.garciarealestateagents19.com/?utm_source=google,(335) 555-0019,Landline,119 Main St,70019,Florida,miami,11-50,REF-19
Brown Chiropractors 20,James Brown,Maria,owner20@brownchiropractors20.com,www.brownchiropractors20.com/?utm_source=google,(337) 555-0020,Landline,,70020,Massachusetts,BOSTON,1-10,REF-20
Nguyen Salons 21,Linda Brown,Priya,owner21@nguyensalons21.com,www.nguyensalons21.com/?utm_source=google,(252) 555-0021,Mobile,121 Main St,70021,CO,Denver,,REF-21
Brown Plumbing 22,Priya Davis,James,owner22@,,(907) 555-0022,Mobile,122 Main St,70022,AR,PHOENIX,1-10,REF-22
Smith HVAC Services 23,James Patel,Linda,owner23@smithhvacservices23.com,www.smithhvacservices23.com/?utm_source=google,(882) 555-0023,Mobile,123 Main St,70023,AR,PHOENIX,1-10,REF-23
Johnson Restaurants 24,James Johnson,Ana,owner24@johnsonrestaurants24.com,www.johnsonrestaurants24.com/?utm_source=google,(621) 555-0024,,124 Main St,70024,Arizona,phoenix,1-10,REF-24
